Rev,Gr P,EBITDA,Op P,Net Inc,ROA,ROE,EPS (TTM),EPS (FWD)
22971000832.0,22971000832.0,,13313532662.21056,-80000000.0,0.00341,0.19499001,0.068,
40500998144.0,7827999744.0,6439000064.0,5208023351.336961,3944999936.0,0.06444,0.26501,27.08,28.06
50273001472.0,7743000064.0,6072999936.0,5107736949.5552,4086000128.0,0.05752,0.17915002,14.89,16.08
25560000512.0,25560000512.0,,9542570591.15008,6518000128.0,0.010140001,0.11667,4.638,
11322999808.0,11322999808.0,,6140123105.88416,3750000128.0,,,1.27,
6958282752.0,3562913024.0,2327278080.0,2139184866.4473598,1594297984.0,0.13642,0.48016998,10.35,9.53
3891114016768.0,3891114016768.0,,1508195676165.8564,886653976576.0,0.00312,0.084680006,2.38,
109677895680.0,69280833536.0,36597628928.0,35631057969.5616,34207080448.0,0.109960005,0.24448,7.4,7.52
428887113728.0,111278374912.0,46082670592.0,41833649073.02912,41875521536.0,0.043909997,0.19961001,0.8,
24601999360.0,10113999872.0,5794999808.0,4374481506.2016,3939000064.0,0.07322,0.9476,7.2,7.9
109677895680.0,69280833536.0,36597628928.0,35631057969.5616,34207080448.0,0.109960005,0.24448,1.48,
54793998336.0,45359001600.0,,19580635305.3696,14707000320.0,0.0090499995,0.12739,51.529,
37105000448.0,12076999680.0,5921999872.0,4976893710.09024,3640999936.0,0.039839998,0.13545999,2.73,3.43
30599999488.0,30599999488.0,,11646053805.13792,7849999872.0,0.00588,0.099989995,7.77,7.66
16752000000.0,7801999872.0,5312000000.0,3866528952.48,2603000064.0,0.052589998,0.37410998,11.86,17.39
31630999552.0,22674999296.0,9290999808.0,9652516455.90831,3423000064.0,0.06785,0.28332,2.23,4.3
3891114016768.0,3891114016768.0,,1508195676165.8564,886653976576.0,0.00312,0.084680006,0.48,1.39
262023004160.0,25831000064.0,11408000000.0,9626725172.8384,5017999872.0,0.0398,0.13182999,18.24,31.32
15723899904.0,6920600064.0,3723200000.0,2313771870.8736,2136099968.0,0.07688,0.24410999,7.48,7.5
,,,,,,,,
4023020032.0,1076030976.0,-854867008.0,-1200428947.34848,-952328000.0,-0.0945,-4.26606,-1.42,-1.39
7318000128.0,2820000000.0,2064000000.0,1762906230.8352,1602000000.0,0.06586,0.13255,3.57,4.02
31630999552.0,22674999296.0,9290999808.0,9652516455.90831,3423000064.0,0.06785,0.28332,1.12,2.2
8579999744.0,5127000064.0,4365000192.0,4015783251.781755,1751000064.0,0.112320006,,30.15,43.48
